mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.23972702026367188,0.016418225051814325,0.0024422009785970054,0.0010835489288963276,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",-26.592313451402973,-17.78565552922606,-72.79481128022871,-39.05759342028592,24.125217893820743,11
0.4679953257242839,0.012536589855703004,0.004459778467814128,0.0012142525101958893,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",-26.11864204639697,-17.827524942878547,-73.11327232302601,-39.01981310410051,24.344179685508212,7
0.6749942302703857,0.030127753685210815,0.004298686981201172,0.0012964749424786836,,2,150,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}",-25.82511261102807,-19.129298191216158,-72.45083934250071,-39.135083381581644,23.715862189988314,14
0.2077635924021403,0.012202359365562365,0.0033857027689615884,0.0025544884832042454,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",-25.845863782151252,-17.863619180300912,-72.49401389233235,-38.73449895159484,24.092982297705856,4
0.4192771116892497,0.012751722446653792,0.002579371134440104,0.00046393553228335786,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",-25.90054804390136,-17.61447699530786,-72.45014979167233,-38.65505827696052,24.134980163259502,2
0.609137773513794,0.03270316498159866,0.006010611852010091,0.0022335502814932687,,5,150,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}",-25.737173996202742,-19.055099271095024,-72.35780345570105,-39.05002557433294,23.70961241358867,9
0.18802237510681152,0.016528206601611906,0.0023177464803059897,0.0012668374634388863,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",-24.991084255552035,-18.906839166385957,-73.8640121731714,-39.25397853170313,24.59871718977685,17
0.3459935188293457,0.030393032221374218,0.0021117528279622397,2.1065855195336817e-05,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",-26.441181479705357,-18.51022409569273,-73.14374118806984,-39.365048921155974,24.10359668464309,20
0.5463060537974039,0.046980965351972895,0.004580577214558919,0.002516122709222921,,10,150,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 150}",-25.95965933814567,-20.032495659468726,-72.85108240845565,-39.61441246869001,23.626115336383556,26
0.21124625205993652,0.01965567014761591,0.002234299977620443,0.0009038282475511788,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",-28.131486458910924,-17.575693199487738,-72.47271190610925,-39.393297188169306,23.784335901246962,23
0.42637936274210614,0.011110422713515334,0.0024073123931884766,5.902998790259155e-05,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",-27.52994088660901,-17.680401797125562,-72.58590473333835,-39.26541580569097,23.901807349402393,19
0.6174890200297037,0.006183191320014579,0.0033555825551350913,0.00017518302530152507,10,2,150,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}",-27.342835985258958,-19.221520799548173,-72.27791891486062,-39.61409189988925,23.33356861597177,25
0.20010201136271158,0.0120280662947635,0.0035375754038492837,0.0016319405844098546,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",-26.678093737525195,-17.863619180300912,-72.79443812291993,-39.112050346915346,24.087357336022368,13
0.40445860226949054,0.0050849665054774566,0.003665924072265625,0.002065307708690615,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",-25.664943337336855,-17.614498587509416,-72.6302410419339,-38.636560988926725,24.260806909185433,1
0.5539738337198893,0.046092344556316105,0.0031480789184570312,0.00025545687585982384,10,5,150,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}",-25.38085778210639,-19.177098513196842,-72.38536186139719,-38.98110605223347,23.75576964149525,6
0.17691938082377115,0.011990232434528484,0.0031392574310302734,0.001199986375566675,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",-24.991084255552035,-18.906839166385957,-73.86211690495855,-39.25334677563218,24.597828318433255,16
0.34554251035054523,0.005196119186637854,0.0035054683685302734,0.0020057605222515013,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",-26.441181479705357,-18.51022409569273,-73.14897461931646,-39.36679339823818,24.106041390725917,22
0.50374968846639,0.022415777078178534,0.002804358800252279,9.151160897125546e-05,10,10,150,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}",-25.95965933814567,-20.032495659468726,-72.83068276618465,-39.60761258793301,23.61654944271399,24
0.24109689394632974,0.03988670374510637,0.003439188003540039,0.0013904814501088628,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",-26.592313451402973,-17.78565552922606,-72.79481128022871,-39.05759342028592,24.125217893820743,11
0.46898698806762695,0.07541909041329335,0.002714236577351888,0.0004134671438352121,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",-26.11864204639697,-17.827524942878547,-73.11327232302601,-39.01981310410051,24.344179685508212,7
0.7200419902801514,0.09242781203373436,0.01328436533610026,0.011159696985510854,20,2,150,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}",-25.82511261102807,-19.129298191216158,-72.45083934250071,-39.135083381581644,23.715862189988314,14
